Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2023-01-26 10:54:19,Bintang Cafe,AUD,-36.57,,,AUD,-36.57,-24.67512934725,,
2023-01-26 05:21:03,Amtel Pty Ltd,AUD,-27.8,,,AUD,-27.8,-18.757686515,,
2023-01-26 05:15:14,Aldi Stores   Cloverda,AUD,-8.02,,,AUD,-8.02,-5.4113901385,,
2023-01-26 05:08:50,Coles 4824,AUD,-6.86,,,AUD,-6.86,-4.6286953055,,
2023-01-24 08:56:36,Ampol Rivervale 55533 F,AUD,-66.71,,,AUD,-66.71,-45.01170026675,,
2023-01-24 08:44:39,AUD Deposit,AUD,250.0,,,AUD,250.0,168.68423125,,
2023-01-23 02:00:06,Woolworths/Belmont Forum,AUD,-3.0,,,AUD,-3.0,-2.024210775,,
2023-01-23 01:54:31,Aldi Stores   Cloverda,AUD,-7.81,,,AUD,-7.81,-5.26969538425,,
2023-01-23 01:46:14,Family Fresh Market,AUD,-24.75,,,AUD,-24.75,-16.69973889375,,
2023-01-22 12:16:12,Bistro Bellavista,AUD,-27.0,,,AUD,-27.0,-18.217896975,,
2023-01-22 05:10:14,Rainbow Flamingo Pl,AUD,-35.0,,,AUD,-35.0,-23.615792375,,
2023-01-22 05:01:25,Family Fresh Market,AUD,-34.76,,,AUD,-34.76,-23.453855513,,
2023-01-22 04:52:11,Woolworths/Belmont Forum,AUD,-12.98,,,AUD,-12.98,-8.7580852865,,
2023-01-22 04:34:55,Coles 4824,AUD,-45.3,,,AUD,-45.3,-30.5655827025,,
2023-01-22 04:26:26,AUD Deposit,AUD,250.0,,,AUD,250.0,168.68423125,,
2023-01-22 04:21:43,Aldi Stores   Cloverda,AUD,-59.18,,,AUD,-59.18,-39.9309312215,,
2023-01-22 03:57:22,Kmart 1018,AUD,-3.5,,,AUD,-3.5,-2.3615792375,,
2023-01-22 03:48:30,Big W/Abernethy & Wright,AUD,-2.0,,,AUD,-2.0,-1.34947385,,
2023-01-22 03:37:34,The Reject Shop 6638,AUD,-6.5,,,AUD,-6.5,-4.3857900125,,
2023-01-21 11:48:58,Smp*Delicioso Gelato,AUD,-8.95,,,AUD,-8.95,-6.03889547875,,
2023-01-21 11:24:51,Smp*Red Basil Thai,AUD,-34.0,,,AUD,-34.0,-22.94105545,,
2023-01-21 05:24:43,Sabaz Enterprises Pt,AUD,-41.8,,,AUD,-41.8,-28.204003465,,
2023-01-20 10:26:23,Rise Supermarket,AUD,-9.98,,,AUD,-9.98,-6.7338745115,,
2023-01-18 08:58:30,The Reject Shop 6638,AUD,-6.5,,,AUD,-6.5,-4.3857900125,,
2023-01-18 08:51:08,Woolworths/Belmont Forum,AUD,-6.0,,,AUD,-6.0,-4.04842155,,
2023-01-18 08:40:32,Aldi Stores   Cloverda,AUD,-31.33,,,AUD,-31.33,-21.13950786025,,
2023-01-17 07:49:25,Perth Airport Pty Ltd,AUD,-15.82,,,AUD,-15.82,-10.6743381535,,
2023-01-16 09:23:50,Woolworths/Belmont Forum,AUD,-30.2,,,AUD,-30.2,-20.377055135,,
2023-01-16 09:00:09,Family Fresh Market,AUD,-19.49,,,AUD,-19.49,-13.15062266825,,
2023-01-16 08:45:05,Aldi Stores   Cloverda,AUD,-17.8,,,AUD,-17.8,-12.010317265,,
2023-01-16 08:41:47,TAUD -> AUD,AUD,123.32,TAUD,123.32,AUD,123.32,83.208557591,,
2023-01-15 06:51:06,Cracovia Club Inc,AUD,-91.0,,,AUD,-91.0,-61.401060175,,
2023-01-15 06:46:29,TAUD -> AUD,AUD,200.0,TAUD,200.0,AUD,200.0,134.947385,,
2023-01-15 06:09:56,Eg Group/207 Burslem Dr,AUD,-81.77,,,AUD,-81.77,-55.17323835725,,
2023-01-15 04:42:05,Bp Baldivis Nb7375,AUD,-16.1,,,AUD,-16.1,-10.8632644925,,
2023-01-14 01:14:58,Witchcliffe Fuel&Food,AUD,-30.01,,,AUD,-30.01,-20.24885511925,,
2023-01-13 04:21:02,Woolworths/49 Town View T,AUD,-12.17,,,AUD,-12.17,-8.21154837725,,
2023-01-12 12:52:00,Spotify P2024525 Fb,AUD,-15.99,,,AUD,-15.99,-10.78904343075,,
2023-01-12 10:39:30,TAUD -> AUD,AUD,200.0,TAUD,200.0,AUD,200.0,134.947385,,
2023-01-12 10:38:57,Shelter Brewing,AUD,-91.0,,,AUD,-91.0,-61.401060175,,
2023-01-11 09:46:37,Woolworths/Belmont Forum,AUD,-25.5,,,AUD,-25.5,-17.2057915875,,
2023-01-10 12:33:34,Tao Cafe Victoria Park,AUD,-76.0,,,AUD,-76.0,-51.2800063,,
2023-01-10 08:44:35,Ampol Rivervale 55533 F,AUD,-27.32,,,AUD,-27.32,-18.433812791,,
2023-01-09 08:00:06,Aldi Stores   Cloverda,AUD,-9.96,,,AUD,-9.96,-6.720379773,,
2023-01-09 07:39:53,Family Fresh Market,AUD,-49.74,,,AUD,-49.74,-33.5614146495,,
2023-01-09 07:38:37,TAUD -> AUD,AUD,250.0,TAUD,250.0,AUD,250.0,168.68423125,,
2023-01-09 07:28:18,Woolworths/Belmont Forum,AUD,-54.95,,,AUD,-54.95,-37.07679402875,,
2023-01-09 04:01:05,Uber   *Trip,AUD,-27.21,,,AUD,-27.21,-18.35959172925,,
2023-01-02 14:51:51,Amazon Web Services,AUD,-1.47,,,AUD,-1.47,-0.99186327975,,
2022-12-31 19:41:16,Netflix Com,AUD,-22.99,,,AUD,-22.99,-15.51220190575,,
2022-12-30 07:44:54,Coles 7919,AUD,-44.49,,,AUD,-44.49,-30.01904579325,,
2022-12-30 06:40:58,Costco Wholesale Austr,AUD,-306.61,,,AUD,-306.61,-206.88108857425,,
2022-12-30 06:38:51,TAUD -> AUD,AUD,250.0,TAUD,250.0,AUD,250.0,168.68423125,,
2022-12-30 02:05:14,Westfield Geelong,AUD,-3.0,,,AUD,-3.0,-2.024210775,,
2022-12-30 01:33:30,Old Man Pho Geelong,AUD,-3.0,,,AUD,-3.0,-2.024210775,,
2022-12-30 01:20:57,Hi Sushi,AUD,-14.46,,,AUD,-14.46,-9.7566959355,,
